author_avatar,author_bio,author_designation,author_id,author_name,category,content,coverImage,excerpt,featured,id,publishedDate,title,userSubmitted
/media/images/profiles/ariana-flores-creator.jpg,Ariana explores practical generative AI workflows for multidisciplinary creative teams.,Senior AI Creative Evangelist,creator-001,Ariana Flores,AI & Emerging Technology,"[{""type"":""heading"",""text"":""Unlimited experimentation in Firefly""},{""type"":""paragraph"",""text"":""Adobe Firefly now leverages Gemini 3 to support significantly expanded generation limits, enabling creators to test more concepts without workflow interruptions.""},{""type"":""paragraph"",""text"":""This allows teams to rapidly iterate on visuals, experiment with multiple directions, and refine outputs faster during brainstorming and production phases.""},{""type"":""image"",""src"":""/media/images/blogs/create-with-unlimited-generations-using-google-inline-1.jpg"",""alt"":""Adobe Firefly interface showcasing unlimited AI image generations powered by Gemini 3""},{""type"":""heading"",""text"":""What this means for creators""},{""type"":""paragraph"",""text"":""With fewer generation constraints, designers can explore broader creative possibilities, compare alternatives side by side, and accelerate approval cycles.""}]",/media/images/blogs/create-with-unlimited-generations-using-google.jpg,"Explore how Gemini 3 integration in Adobe Firefly unlocks unlimited high-speed generations for ideation, concepting, and iterative creative workflows.",false,blog-001,2025-11-20,Create with unlimited generations using Google Gemini 3 (Nano Banana Pro) in Adobe Firefly,false
/media/images/profiles/malik-thompson-creator.jpg,Malik focuses on human-centered AI assistants across creative and productivity products.,"Director, Intelligent Experiences",creator-002,Malik Thompson,AI & Emerging Technology,"[{""type"":""heading"",""text"":""The next evolution of AI assistance""},{""type"":""paragraph"",""text"":""Agentic AI introduces assistants capable of understanding intent, taking actions, and completing workflows across integrated applications.""},{""type"":""paragraph"",""text"":""Rather than simply responding to prompts, these systems help automate repetitive tasks and proactively assist with creative and operational work.""},{""type"":""image"",""src"":""/media/images/blogs/our-view-on-agentic-ai-ai-inline-1.jpg"",""alt"":""Conceptual visualization of agentic AI assistants working across creative applications""},{""type"":""heading"",""text"":""Why it matters""},{""type"":""paragraph"",""text"":""Embedding AI directly into familiar tools reduces context switching and helps teams complete more work with less manual overhead.""}]",/media/images/blogs/our-view-on-agentic-ai-ai.jpg,Learn how agentic AI assistants are evolving beyond chatbots to perform multi-step tasks directly inside the apps creators already use.,false,blog-002,2025-10-28,"Our view on Agentic AI: AI assistants that work for you, in your favorite apps",false
/media/images/profiles/priya-raman-creator.jpg,"Priya leads roadmap initiatives for video, imaging, and enterprise-safe model innovation.","Principal Product Lead, Firefly",creator-003,Priya Raman,AI & Emerging Technology,"[{""type"":""heading"",""text"":""Expanded generative capabilities""},{""type"":""paragraph"",""text"":""Adobe Firefly now supports enhanced AI-powered generation across both image and video workflows, with improved controls and fidelity.""},{""type"":""paragraph"",""text"":""Custom models also allow organizations to train generation systems on brand-safe assets for more consistent enterprise output.""},{""type"":""image"",""src"":""/media/images/blogs/adobe-firefly-expands-video-and-image-inline-1.jpg"",""alt"":""Adobe Firefly AI tools generating video and image content with custom model controls""},{""type"":""heading"",""text"":""Enterprise creative impact""},{""type"":""paragraph"",""text"":""These upgrades make it easier for teams to scale personalized, branded content across multiple campaigns and formats.""}]",/media/images/blogs/adobe-firefly-expands-video-and-image.jpg,"Discover Adobe Firefly’s latest AI-powered video, image, and custom model enhancements built for scalable enterprise-grade content production.",false,blog-003,2026-03-19,Adobe Firefly expands video and image creation with new AI capabilities and custom models,false
/media/images/profiles/noah-bennett-creator.jpg,Noah helps creative organizations streamline review and approval pipelines at scale.,Collaboration Solutions Manager,creator-004,Noah Bennett,Creative Tools & Product Updates,"[{""type"":""heading"",""text"":""Collaboration meets accessibility""},{""type"":""paragraph"",""text"":""Frame.io’s Adobe.com integration simplifies onboarding and access for teams managing review and feedback workflows.""},{""type"":""paragraph"",""text"":""Creative stakeholders can collaborate faster with centralized feedback, timestamped comments, and streamlined approval pipelines.""},{""type"":""image"",""src"":""/media/images/blogs/get-your-creative-team-on-the-inline-1.jpg"",""alt"":""Creative team collaborating through Frame.io review and approval dashboard""},{""type"":""heading"",""text"":""Improving team efficiency""},{""type"":""paragraph"",""text"":""By reducing fragmented communication, teams can move projects from draft to delivery with greater speed and clarity.""}]",/media/images/blogs/get-your-creative-team-on-the.jpg,"See how Frame.io’s availability on Adobe.com makes collaborative review, approval, and production workflows more accessible to teams.",true,blog-004,2025-12-19,"Get your creative team on the same page with Frame.io, now available on Adobe.com",false
/media/images/profiles/elena-park-creator.jpg,Elena researches content sourcing patterns and creative reuse across global teams.,Senior Content Discovery Strategist,creator-005,Elena Park,Creative Tools & Product Updates,"[{""type"":""heading"",""text"":""A better content discovery experience""},{""type"":""paragraph"",""text"":""Adobe Stock’s redesigned website introduces improved search, filtering, and browsing capabilities for asset discovery.""},{""type"":""paragraph"",""text"":""Creators can now find, preview, and refine stock content more efficiently across images, templates, and motion assets.""},{""type"":""image"",""src"":""/media/images/blogs/discover-and-perfect-great-content-with-inline-1.jpg"",""alt"":""Adobe Stock redesigned interface highlighting improved asset discovery tools""},{""type"":""heading"",""text"":""Faster sourcing for campaigns""},{""type"":""paragraph"",""text"":""Improved discovery tools help teams reduce sourcing time and maintain consistency across brand assets.""}]",/media/images/blogs/discover-and-perfect-great-content-with.jpg,"Explore Adobe Stock’s redesigned platform built to improve discovery, curation, and refinement of premium creative assets.",false,blog-005,2026-04-13,Discover and perfect great content with Adobe Stock's new site,false
/media/images/profiles/luca-moretti-creator.jpg,"Luca advises studios on texture pipelines, material systems, and 3D production efficiency.",3D Workflow Specialist,creator-006,Luca Moretti,Creative Tools & Product Updates,"[{""type"":""heading"",""text"":""Smarter 3D texturing workflows""},{""type"":""paragraph"",""text"":""Latest Substance 3D enhancements improve material editing, texture control, and procedural workflow flexibility.""},{""type"":""paragraph"",""text"":""Artists can now iterate faster while maintaining granular control over texture detail and asset consistency.""},{""type"":""image"",""src"":""/media/images/blogs/more-control-less-friction-in-texturing-inline-1.jpg"",""alt"":""3D artist editing textures using latest Adobe Substance 3D workflow tools""},{""type"":""heading"",""text"":""Production-ready improvements""},{""type"":""paragraph"",""text"":""These upgrades reduce repetitive manual adjustments and improve throughput for 3D content teams.""}]",/media/images/blogs/more-control-less-friction-in-texturing.jpg,Discover the newest Substance 3D updates designed to streamline texturing pipelines and enhance creative precision in 3D production.,false,blog-006,2026-03-09,"More control, less friction in texturing workflows: The latest Substance 3D innovations",false
/media/images/profiles/sofia-diaz-creator.jpg,Sofia translates macro cultural signals into practical guidance for creators and brands.,Creative Trends Analyst,creator-007,Sofia Diaz,Industry Trends & Thought Leadership,"[{""type"":""heading"",""text"":""The rise of trend-driven creativity""},{""type"":""paragraph"",""text"":""Adobe’s 2026 Creative Trends reveal how creators are adapting to shifting audience expectations and cultural signals.""},{""type"":""paragraph"",""text"":""Brands and individuals alike are leveraging these trends to produce more resonant, relevant, and engaging creative work.""},{""type"":""image"",""src"":""/media/images/blogs/how-creators-are-leveraging-adobe-s-inline-1.jpg"",""alt"":""Creative professionals applying Adobe 2026 design and branding trends""},{""type"":""heading"",""text"":""Applying trends strategically""},{""type"":""paragraph"",""text"":""Teams can use trend insights to guide campaign themes, design direction, and storytelling decisions.""}]",/media/images/blogs/how-creators-are-leveraging-adobe-s.jpg,"Understand how modern creators are applying Adobe’s 2026 Creative Trends to shape campaigns, content, and audience engagement.",true,blog-007,2026-01-08,How creators are leveraging Adobe's 2026 Creative Trends,false
/media/images/profiles/ethan-cole-creator.jpg,"Ethan writes about typography, interface systems, and emerging design technologies.",Design Futurist and Typographer,creator-008,Ethan Cole,Industry Trends & Thought Leadership,"[{""type"":""heading"",""text"":""Where design meets innovation""},{""type"":""paragraph"",""text"":""Typography and emerging technologies continue to reshape how creators build experiences and communicate visually.""},{""type"":""paragraph"",""text"":""Creative thinkers who combine technical fluency with design fundamentals are best positioned to lead future innovation.""},{""type"":""image"",""src"":""/media/images/blogs/how-to-shape-the-future-with-inline-1.jpg"",""alt"":""Typography and digital design concepts representing future-focused creative thinking""},{""type"":""heading"",""text"":""Preparing for tomorrow""},{""type"":""paragraph"",""text"":""Investing in design systems, experimentation, and technical literacy helps teams stay ahead of creative shifts.""}]",/media/images/blogs/how-to-shape-the-future-with.jpg,"Explore how typography, emerging technologies, and innovative design thinking combine to influence the future of creative work.",false,blog-008,2025-09-24,"How to shape the future with type, tech, and creative thinking",false
/media/images/profiles/ariana-flores-creator.jpg,Ariana explores practical generative AI workflows for multidisciplinary creative teams.,Senior AI Creative Evangelist,creator-001,Ariana Flores,Community / Events / Creator Programs,"[{""type"":""heading"",""text"":""Designed for emerging creators""},{""type"":""paragraph"",""text"":""The Adobe MAX Creator Track introduces sessions tailored for freelancers, side hustlers, and creators building independent careers.""},{""type"":""paragraph"",""text"":""Topics include monetization, branding, audience growth, and practical strategies for turning passion into business.""},{""type"":""image"",""src"":""/media/images/blogs/building-a-side-hustle-or-creative-inline-1.jpg"",""alt"":""Adobe MAX Creator Track session for freelancers and aspiring creative entrepreneurs""},{""type"":""heading"",""text"":""Career-building opportunities""},{""type"":""paragraph"",""text"":""The track offers valuable insights for creators looking to scale freelance work or launch sustainable creative ventures.""}]",/media/images/blogs/building-a-side-hustle-or-creative.jpg,"Learn how Adobe MAX’s new Creator Track helps aspiring creatives build side hustles, monetize skills, and grow their personal brand.",true,blog-009,2025-10-03,Building a side hustle or creative passion? Check out the new Adobe MAX Creator Track,false
/media/images/profiles/malik-thompson-creator.jpg,Malik focuses on human-centered AI assistants across creative and productivity products.,"Director, Intelligent Experiences",creator-002,Malik Thompson,Community / Events / Creator Programs,"[{""type"":""heading"",""text"":""Celebrating emerging creative talent""},{""type"":""paragraph"",""text"":""Adobe MAX highlights a new generation of creators making waves across design, motion, digital art, and storytelling.""},{""type"":""paragraph"",""text"":""Attendees can explore their work, hear their stories, and learn from the innovative processes behind standout projects.""},{""type"":""image"",""src"":""/media/images/blogs/meet-the-new-generation-of-creative-inline-1.jpg"",""alt"":""Featured emerging creators and speakers showcased at Adobe MAX""},{""type"":""heading"",""text"":""Why it inspires the community""},{""type"":""paragraph"",""text"":""Showcasing fresh talent helps inspire the wider creative community and spotlights the future of the industry.""}]",/media/images/blogs/meet-the-new-generation-of-creative.jpg,Meet the rising creative leaders and breakthrough talent being spotlighted at this year’s Adobe MAX event.,false,blog-010,2025-07-31,Meet the new generation of creative luminaries at Adobe MAX,false