agenda,category,closingQuote,date,featured,fullDescription,guestSpeakers,hosts,id,location_city,location_country,location_state,presenters,shortDescription,thumbnail,time,title,venue
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Creative Cafe Events,"A single image can hold a story, but a thoughtful system helps that story travel everywhere.",2026-06-20,false,"In Online / Multiple Locations, Adobe Creative Cafe Portfolio Review Series is designed for people who want practical, repeatable workflows. Sessions focus on building sustainable creative habits and storytelling and craft, with demos and guided exercises. Bring an active project and leave with a plan you can use the next day.","[{""name"":""Noah Bennett"",""designation"":""Guest Speaker - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]","[{""name"":""Malik Thompson"",""designation"":""Host - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""},{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-010,Online / Multiple Locations,Global,N/A,"[{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]","Adobe Creative Cafe Portfolio Review Series in Online / Multiple Locations: practical sessions on storytelling and craft, plus quick tips and mini demos.",assets/images/events/adobe-creative-cafe-portfolio-review-series.jpg,10:00 AM - 2:00 PM Local Time,Adobe Creative Cafe Portfolio Review Series,Virtual + Regional Community Hubs
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Workshops,Movement gives ideas momentum; intention gives that momentum meaning.,2026-04-21,false,"Creative Cloud Workshop: Generative AI Workflows from Working Hollywood Poster Artists brings creators and teams together in Kansas City for a hands-on program. The agenda covers workflow automation alongside hands-on exercises, with time for Q&A and discussion. Bring an active project and leave with a plan you can use the next day.","[{""name"":""Elena Park"",""designation"":""Guest Speaker - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]","[{""name"":""Luca Moretti"",""designation"":""Host - 3D Artist"",""bio"":""Luca designs materials and environments for product visualization and immersive storytelling. He focuses on reliable pipelines from concept to final render."",""avatar"":""assets/images/profiles/luca-moretti-creator.jpg""}]",event-011,Kansas City,USA,MO,"[{""name"":""Sofia Diaz"",""designation"":""Presenter - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""},{""name"":""Priya Raman"",""designation"":""Presenter - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]","Creative Cloud Workshop: Generative AI Workflows from Working Hollywood Poster Artists in Kansas City: practical sessions on asset organization and reuse, plus workflow automation.",assets/images/events/creative-cloud-workshop-generative-ai-workflows-from-working.jpg,10:00 AM - 4:00 PM Local Time,Creative Cloud Workshop: Generative AI Workflows from Working Hollywood Poster Artists,Kansas City Convention Center
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Workshops,"A single image can hold a story, but a thoughtful system helps that story travel everywhere.",2026-04-28,false,"Join Prompting Like a Pro with Adobe Firefly online for a practical, demo-driven learning session. The session includes demos on practical production checklists, and a structured approach to repeatable templates. Bring your questions for Q&A and leave with a repeatable plan.","[{""name"":""Ariana Flores"",""designation"":""Guest Speaker - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]","[{""name"":""Elena Park"",""designation"":""Host - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]",event-012,Online,Global,N/A,"[{""name"":""Sofia Diaz"",""designation"":""Presenter - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""},{""name"":""Luca Moretti"",""designation"":""Presenter - 3D Artist"",""bio"":""Luca designs materials and environments for product visualization and immersive storytelling. He focuses on reliable pipelines from concept to final render."",""avatar"":""assets/images/profiles/luca-moretti-creator.jpg""}]","Join live to learn practical production checklists, plus a practical walkthrough of workflow automation.",assets/images/events/prompting-like-a-pro-with-adobe-firefly.jpg,11:00 AM - 12:30 PM PT,Prompting Like a Pro with Adobe Firefly,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Workshops,"A single image can hold a story, but a thoughtful system helps that story travel everywhere.",2026-05-06,false,"New Ways to Create with Adobe Firefly brings a focused, live format for teams working across time zones. We will cover asset organization and reuse and repeatable templates with step-by-step walkthroughs. You will get practical takeaways that reduce rework and speed up delivery.","[{""name"":""Noah Bennett"",""designation"":""Guest Speaker - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]","[{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-013,Online,Global,N/A,"[{""name"":""Malik Thompson"",""designation"":""Presenter - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""},{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]","A focused webinar covering repeatable templates and hands-on exercises, designed for busy teams.",assets/images/events/new-ways-to-create-with-adobe-firefly.jpg,11:00 AM - 12:30 PM PT,New Ways to Create with Adobe Firefly,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Workshops,"When interfaces feel effortless, teams can spend their energy on ideas instead of obstacles.",2026-05-13,false,"Join Video AI Magic: Create, Iterate, and Refine with Adobe Firefly online for a practical, demo-driven learning session. Expect clear examples on practical production checklists, plus a guided look at rapid prototyping. Bring your questions for Q&A and leave with a repeatable plan.","[{""name"":""Elena Park"",""designation"":""Guest Speaker - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""}]","[{""name"":""Sofia Diaz"",""designation"":""Host - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]",event-014,Online,Global,N/A,"[{""name"":""Malik Thompson"",""designation"":""Presenter - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""},{""name"":""Ariana Flores"",""designation"":""Presenter - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]",Live online session on rapid prototyping and asset organization and reuse with demos and Q&A.,assets/images/events/video-ai-magic-create-iterate-and-refine-with.jpg,11:00 AM - 12:30 PM PT,"Video AI Magic: Create, Iterate, and Refine with Adobe Firefly",Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Workshops,"Great design is not just what we make, it is how we help others create with clarity and confidence.",2026-05-22,true,"Join Adobe Premiere + InDesign Workshop online for a practical, demo-driven learning session. Expect clear examples on asset organization and reuse, plus a guided look at repeatable templates. Bring your questions for Q&A and leave with a repeatable plan.","[{""name"":""Noah Bennett"",""designation"":""Guest Speaker - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]","[{""name"":""Malik Thompson"",""designation"":""Host - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]",event-015,Online,Global,N/A,"[{""name"":""Elena Park"",""designation"":""Presenter - Photographer"",""bio"":""Elena creates editorial and commercial imagery with a focus on composition, light, and visual storytelling. She also advises teams on efficient content sourcing workflows."",""avatar"":""assets/images/profiles/elena-park-creator.jpg""},{""name"":""Ariana Flores"",""designation"":""Presenter - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]","Join live to learn hands-on exercises, plus a practical walkthrough of repeatable templates.",assets/images/events/adobe-premiere-indesign-workshop.jpg,11:00 AM - 12:30 PM PT,Adobe Premiere + InDesign Workshop,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Webinars,"Great design is not just what we make, it is how we help others create with clarity and confidence.",2026-04-18,false,Doing More with Documents: How Professionals Use AI is a live online session built for creators and teams. We will cover real-world examples and workflow walkthroughs with step-by-step walkthroughs. You will get practical takeaways that reduce rework and speed up delivery.,"[{""name"":""Ethan Cole"",""designation"":""Guest Speaker - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""}]","[{""name"":""Ariana Flores"",""designation"":""Host - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]",event-016,Online,Global,N/A,"[{""name"":""Malik Thompson"",""designation"":""Presenter - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]",Live online session on practical frameworks and real-world examples with demos and Q&A.,assets/images/events/doing-more-with-documents-how-professionals-use-ai.jpg,11:00 AM - 12:30 PM PT,Doing More with Documents: How Professionals Use AI,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Webinars,A strong brand is a shared promise made visible in every creative choice.,2026-04-25,false,"Adobe's Creative Forecast: Trends Shaping 2026 brings a focused, live format for teams working across time zones. We will cover practical frameworks and Q&A and troubleshooting with step-by-step walkthroughs. Bring your questions for Q&A and leave with a repeatable plan.","[{""name"":""Priya Raman"",""designation"":""Guest Speaker - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]","[{""name"":""Noah Bennett"",""designation"":""Host - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]",event-017,Online,Global,N/A,"[{""name"":""Malik Thompson"",""designation"":""Presenter - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]","Join live to learn practical frameworks, plus a practical walkthrough of live demos.",assets/images/events/adobe-s-creative-forecast-trends-shaping-2026.jpg,11:00 AM - 12:30 PM PT,Adobe's Creative Forecast: Trends Shaping 2026,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Webinars,Movement gives ideas momentum; intention gives that momentum meaning.,2026-05-02,false,"Join Create with Confidence Using Generative AI online for a practical, demo-driven learning session. Expect clear examples on best practices, plus a guided look at practical frameworks. You will get practical takeaways that reduce rework and speed up delivery.","[{""name"":""Sofia Diaz"",""designation"":""Guest Speaker - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]","[{""name"":""Priya Raman"",""designation"":""Host - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]",event-018,Online,Global,N/A,"[{""name"":""Malik Thompson"",""designation"":""Presenter - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]","Live online: Create with Confidence Using Generative AI. Join live to learn real-world examples, plus a practical walkthrough of best practices.",assets/images/events/create-with-confidence-using-generative-ai.jpg,11:00 AM - 12:30 PM PT,Create with Confidence Using Generative AI,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Webinars,Movement gives ideas momentum; intention gives that momentum meaning.,2026-05-09,false,"Scale Creative Production with Generative AI and Automated Workflows brings a focused, live format for teams working across time zones. Expect clear examples on live demos, plus a guided look at real-world examples. You will get practical takeaways that reduce rework and speed up delivery.","[{""name"":""Sofia Diaz"",""designation"":""Guest Speaker - Motion Designer"",""bio"":""Sofia creates motion systems that make complex ideas easier to understand and remember. Her work blends narrative pacing with brand coherence."",""avatar"":""assets/images/profiles/sofia-diaz-creator.jpg""}]","[{""name"":""Malik Thompson"",""designation"":""Host - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]",event-019,Online,Global,N/A,"[{""name"":""Ethan Cole"",""designation"":""Presenter - Content Creator"",""bio"":""Ethan produces educational creative content across video, newsletters, and live workshops. He helps emerging creators build sustainable publishing habits."",""avatar"":""assets/images/profiles/ethan-cole-creator.jpg""}]",Live online session on workflow walkthroughs and live demos with demos and Q&A.,assets/images/events/scale-creative-production-with-generative-ai-and-automated.jpg,11:00 AM - 12:30 PM PT,Scale Creative Production with Generative AI and Automated Workflows,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Webinars,"When interfaces feel effortless, teams can spend their energy on ideas instead of obstacles.",2026-05-16,false,"From Idea to Impact: Ideate and Create with Firefly Boards brings a focused, live format for teams working across time zones. We will cover Q&A and troubleshooting and live demos with step-by-step walkthroughs. You will get practical takeaways that reduce rework and speed up delivery.","[{""name"":""Malik Thompson"",""designation"":""Guest Speaker - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]","[{""name"":""Noah Bennett"",""designation"":""Host - Brand Strategist"",""bio"":""Noah aligns brand narrative, campaign planning, and creative operations for distributed teams. He helps organizations build consistency without limiting originality."",""avatar"":""assets/images/profiles/noah-bennett-creator.jpg""}]",event-020,Online,Global,N/A,"[{""name"":""Ariana Flores"",""designation"":""Presenter - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]",Live online session on workflow walkthroughs and Q&A and troubleshooting with demos and Q&A.,assets/images/events/from-idea-to-impact-ideate-and-create-with.jpg,11:00 AM - 12:30 PM PT,From Idea to Impact: Ideate and Create with Firefly Boards,Virtual Event Platform
"[{""time"":""10:00 AM"",""activity"":""Welcome and Opening Notes"",""description"":""Kick off the event with context, goals, and key outcomes for attendees.""},{""time"":""11:00 AM"",""activity"":""Keynote and Product Insights"",""description"":""Explore current creative trends and Adobe platform innovations.""},{""time"":""01:00 PM"",""activity"":""Hands-on Session"",""description"":""Apply techniques in guided exercises focused on real-world workflows.""},{""time"":""03:00 PM"",""activity"":""Panel and Q&A"",""description"":""Hear expert perspectives and get answers to practical implementation questions.""}]",Webinars,Research is most powerful when it turns uncertainty into shared creative direction.,2026-05-23,false,"Bridging Creative AI with Human Ingenuity is a live online session built for creators and teams. The session includes demos on Q&A and troubleshooting, and a structured approach to best practices. You will leave with a compact checklist and next steps you can apply immediately.","[{""name"":""Malik Thompson"",""designation"":""Guest Speaker - Frontend Developer"",""bio"":""Malik builds performant creative web experiences and design tooling for enterprise teams. He specializes in turning complex ideas into accessible interfaces."",""avatar"":""assets/images/profiles/malik-thompson-creator.jpg""}]","[{""name"":""Priya Raman"",""designation"":""Host - UX Researcher"",""bio"":""Priya studies creative workflows and decision patterns to shape more human-centered product experiences. Her research helps teams design with confidence and evidence."",""avatar"":""assets/images/profiles/priya-raman-creator.jpg""}]",event-021,Online,Global,N/A,"[{""name"":""Ariana Flores"",""designation"":""Presenter - Senior Creative Director"",""bio"":""Ariana leads multidisciplinary teams building brand storytelling systems powered by modern creative tools. She mentors early-career designers on craft and creative leadership."",""avatar"":""assets/images/profiles/ariana-flores-creator.jpg""}]","A focused webinar covering live demos and workflow walkthroughs, designed for busy teams.",assets/images/events/bridging-creative-ai-with-human-ingenuity.jpg,11:00 AM - 12:30 PM PT,Bridging Creative AI with Human Ingenuity,Virtual Event Platform
